PopA	PopB	PopC	PopD	F4	StdErr	Z	ABBA	BABA	SNPs
Mbuti	SouthEastAsia_SG	CentralAmerica_SG	CentralAmerica_TW1	0.025941	0.012866	2.016	15	7	291
Mbuti	SouthEastAsia_SG	CentralAmerica_SG	CentralAmerica_TW2	0.013255	0.010089	1.314	18	13	424
Mbuti	SouthEastAsia_TW1	CentralAmerica_TW1	CentralAmerica_SG	-0.003871	0.003893	-0.994	57	66	2389
Mbuti	SouthEastAsia_TW1	CentralAmerica_TW1	CentralAmerica_TW2	0.000223	0.000358	0.625	5291	5245	201876
Mbuti	SouthEastAsia_TW2	CentralAmerica_TW2	CentralAmerica_TW1	-0.000227	0.000304	-0.746	7094	7156	273814
Mbuti	SouthEastAsia_TW2	CentralAmerica_TW2	CentralAmerica_SG	-0.00127	0.002925	-0.434	140	146	4545
Mbuti	WestIberia_SG	CentralAmerica_SG	CentralAmerica_TW1	-0.004334	0.004265	-1.016	48	56	1941
Mbuti	WestIberia_SG	CentralAmerica_SG	CentralAmerica_TW2	0.002773	0.003427	0.809	80	72	2813
Mbuti	WestIberia_TW1	CentralAmerica_TW1	CentralAmerica_SG	-0.000117	0.00201	-0.058	158	158	6225
Mbuti	WestIberia_TW1	CentralAmerica_TW1	CentralAmerica_TW2	-0.000142	0.000181	-0.781	13279	13353	524182
Mbuti	WestIberia_TW2	CentralAmerica_TW2	CentralAmerica_TW1	0.000053	0.000161	0.329	13888	13859	545580
Mbuti	WestIberia_TW2	CentralAmerica_TW2	CentralAmerica_SG	-0.00169	0.001273	-1.327	255	271	9456
Mbuti	EastIberia_SG	CentralAmerica_SG	CentralAmerica_TW1	-0.014727	0.011904	-1.237	2	4	144
Mbuti	EastIberia_SG	CentralAmerica_SG	CentralAmerica_TW2	0.003981	0.015014	0.265	8	7	220
Mbuti	EastIberia_TW1	CentralAmerica_TW1	CentralAmerica_SG	-0.000624	0.003328	-0.188	58	59	2488
Mbuti	EastIberia_TW1	CentralAmerica_TW1	CentralAmerica_TW2	-0.000525	0.000347	-1.513	5436	5548	213427
Mbuti	EastIberia_TW2	CentralAmerica_TW2	CentralAmerica_TW1	0.000068	0.000236	0.29	10818	10790	419267
Mbuti	EastIberia_TW2	CentralAmerica_TW2	CentralAmerica_SG	-0.001681	0.00181	-0.929	184	196	6903
Mbuti	CentralAmerica_SG	SouthEastAsia_SG	SouthEastAsia_TW1	-0.013199	0.01296	-1.019	4	6	217
Mbuti	CentralAmerica_SG	SouthEastAsia_SG	SouthEastAsia_TW2	-0.004862	0.008132	-0.598	3	5	265
Mbuti	CentralAmerica_TW1	SouthEastAsia_TW1	SouthEastAsia_SG	0.002701	0.001694	1.595	325	295	11324
Mbuti	CentralAmerica_TW1	SouthEastAsia_TW1	SouthEastAsia_TW2	0.000064	0.000271	0.235	2147	2137	167647
Mbuti	CentralAmerica_TW2	SouthEastAsia_TW2	SouthEastAsia_TW1	-0.0001	0.00022	-0.455	2984	3008	235332
Mbuti	CentralAmerica_TW2	SouthEastAsia_TW2	SouthEastAsia_SG	-0.001226	0.001202	-1.02	572	598	21219
Mbuti	EastIberia_SG	SouthEastAsia_SG	SouthEastAsia_TW1	-0.011669	0.007733	-1.509	8	13	441
