sample_1	sample_2	Type	sample_1_reads	sample_2_reads	sample_1_2_reads	sample_2_1_reads	rate
TW014_LE1_TW1	TW004_NA_SG	TW_SG	7885142	7314345	648	518	7.67072e-05
TW014_LE1_TW1	TW025_HE6_TW1	TW	7885142	9599480	235	202	2.49927e-05
TW014_LE1_TW1	TW037_NA_SG	TW_SG	7885142	689564	14	887	0.0001050654
TW014_LE1_TW1	TW030_LE2_TW1	TW	7885142	9786158	254	274	2.9878e-05
TW014_LE1_TW1	TW010_NA_SG	TW_SG	7885142	8407596	622	452	6.59145e-05
TW014_LE1_TW1	TW035_HE6_TW1	TW	7885142	4455514	124	89	1.72597e-05
TW014_LE1_TW1	TW064_NA_SG	TW_SG	7885142	7899827	1306	1097	0.0001522102
TW014_LE1_TW1	TW022_NA_SG	TW_SG	7885142	15572830	366	673	4.429e-05
TW014_LE1_TW1	TW026_NA_TW1	TW	7885142	8644611	762	645	8.51119e-05
TW014_LE1_TW1	TW062_NA_SG	TW_SG	7885142	5774061	1779	2985	0.0003486542
TW014_LE1_TW1	TW066_HE5_TW1	TW	7885142	7583713	147	150	1.91995e-05
TW014_LE1_TW1	TW023_NA_SG	TW_SG	7885142	14005960	1224	913	9.761e-05
TW014_LE1_TW1	TW036_HE5_TW1	TW	7885142	6448197	194	189	2.67202e-05
TW014_LE1_TW1	TW021_NA_SG	TW_SG	7885142	7682907	1074	3367	0.0002851823
TW014_LE1_TW1	TW031_HE6_TW1	TW	7885142	7870204	219	180	2.5324e-05
TW014_LE1_TW1	TW042_NA_SG	TW_SG	7885142	6685121	912	1011	0.0001319637
TW014_LE1_TW1	TW041_HE4_TW1	TW	7885142	12027986	254	246	2.51084e-05
TW014_LE1_TW1	TW032_NA_SG	TW_SG	7885142	8168903	587	485	6.67699e-05
TW014_LE1_TW1	TW024_HE4_TW1	TW	7885142	4999574	127	113	1.86263e-05
TW014_LE1_TW1	TW059_NA_SG	TW_SG	7885142	9285893	569	604	6.8308e-05
TW014_LE1_TW1	TW053_HE5_TW1	TW	7885142	8630134	444	390	5.04961e-05
TW014_LE1_TW1	TW045_NA_SG	TW_SG	7885142	7133260	708	627	8.8883e-05
TW014_LE1_TW1	TW058_LE3_TW1	TW	7885142	5963756	274	1402	0.0001210058
TW014_LE1_TW1	TW029_NA_SG	TW_SG	7885142	7697331	545	430	6.25663e-05
TW014_LE1_TW1	TW061_NA_SG	TW_SG	7885142	8590347	679	472	6.98564e-05
TW014_LE1_TW1	TW016_NA_TW1	TW	7885142	10190759	199	206	2.2405e-05
TW014_LE1_TW1	TW052_HE4_TW1	TW	7885142	12173455	466	401	4.32214e-05
TW014_LE1_TW1	TW051_NA_SG	TW_SG	7885142	9668794	725	948	9.52971e-05
TW014_LE1_TW1	TW011_LE1_TW1	LE	7885142	4919761	80323	79863	0.0123551793
TW014_LE1_TW1	TW006_NA_SG	TW_SG	7885142	44135255	2702	2405	9.81633e-05
TW014_LE1_TW1	TW063_NA_SG	TW_SG	7885142	6783887	786	580	9.31126e-05
TW014_LE1_TW1	TW048_NA_TW1	TW	7885142	4935903	105	115	1.71589e-05
TW014_LE1_TW1	TW003_NA_SG	TW_SG	7885142	7329539	456	419	5.75069e-05
TW014_LE1_TW1	TW072_NA_TW1	TW	7885142	5628754	1630	569	0.0001626949
TW014_LE1_TW1	TW040_LE2_TW1	TW	7885142	11420717	406	266	3.48068e-05
TW014_LE1_TW1	TW034_NA_SG	TW_SG	7885142	8946256	1559	747	0.000136987
TW014_LE1_TW1	TW046_NA_SG	TW_SG	7885142	17146070	424	392	3.25982e-05
TW014_LE1_TW1	TW013_NA_SG	TW_SG	7885142	13906382	465	467	4.2767e-05
TW014_LE1_TW1	TW044_NA_TW1	TW	7885142	9026463	346	1147	8.82747e-05
TW014_LE1_TW1	TW068_NA_SG	TW_SG	7885142	37914848	5455	2933	0.0001831106
TW014_LE1_TW1	TW001_NA_TW1	TW	7885142	28457319	3317	3396	0.0001846809
TW014_LE1_TW1	TW015_HE4_TW1	TW	7885142	9784335	289	196	2.74477e-05
TW014_LE1_TW1	TW050_NA_SG	TW_SG	7885142	17162729	555	628	4.72273e-05
TW014_LE1_TW1	TW054_LE3_TW1	TW	7885142	12029117	1465	3171	0.0002327438
TW014_LE1_TW1	TW069_NA_SG	TW_SG	7885142	8649838	1210	1144	0.0001423445
TW004_NA_SG	TW025_HE6_TW1	TW_SG	7314345	9599480	790	928	0.0001015633
TW004_NA_SG	TW037_NA_SG	SG	7314345	689564	37	6978	0.0008756792
TW004_NA_SG	TW030_LE2_TW1	TW_SG	7314345	9786158	677	1580	0.000131967
TW004_NA_SG	TW010_NA_SG	SG	7314345	8407596	1140	1112	0.0001432187
TW004_NA_SG	TW035_HE6_TW1	TW_SG	7314345	4455514	252	427	5.76864e-05
TW004_NA_SG	TW064_NA_SG	SG	7314345	7899827	1507	1064	0.0001689586
TW004_NA_SG	TW022_NA_SG	SG	7314345	15572830	1396	3906	0.0002316044
TW004_NA_SG	TW026_NA_TW1	TW_SG	7314345	8644611	635	784	8.89076e-05
TW004_NA_SG	TW062_NA_SG	SG	7314345	5774061	1411	2164	0.0002730679
TW004_NA_SG	TW066_HE5_TW1	TW_SG	7314345	7583713	444	736	7.91986e-05
TW004_NA_SG	TW023_NA_SG	SG	7314345	14005960	1553	1355	0.0001363771
TW004_NA_SG	TW036_HE5_TW1	TW_SG	7314345	6448197	405	617	7.4254e-05
TW004_NA_SG	TW021_NA_SG	SG	7314345	7682907	1367	1572	0.0001959308
TW004_NA_SG	TW031_HE6_TW1	TW_SG	7314345	7870204	532	871	9.2388e-05
TW004_NA_SG	TW042_NA_SG	SG	7314345	6685121	1443	1132	0.0001839017
TW004_NA_SG	TW041_HE4_TW1	TW_SG	7314345	12027986	1287	1432	0.0001405527
TW004_NA_SG	TW032_NA_SG	SG	7314345	8168903	1843	1365	0.0002071487
TW004_NA_SG	TW024_HE4_TW1	TW_SG	7314345	4999574	10556	11493	0.0017873749
TW004_NA_SG	TW059_NA_SG	SG	7314345	9285893	927	1080	0.0001208872
TW004_NA_SG	TW053_HE5_TW1	TW_SG	7314345	8630134	890	15833	0.0010477281
